id,lon,lat,aver,label,canny_edge,pixel_threshold,pixel_entropy,hue_mean,saturation_mean,lightness_mean,building_semantic,sky_semantic,tree_semantic,road_semantic,river_semantic,car_semantic,fence_semantic,ground_semantic,plant_semantic,other_semantic,depth_mean
554,120.272291,31.48597484,4.138612422,high,0.63591,0.51765,0.77397,0.21273,0.24402,0.52934,0.004399299,0.233926773,0.272342682,0.354525566,1.09E-05,0.032406807,0.000617027,0.016274929,0.008047104,0.03423214,0.26524436
555,120.2722694,31.48561892,4.421116703,high,0.49913,0.57647,0.73416,0.31254,0.23577,0.6408,0.006487846,0.180552483,0.354160309,0.252833367,1.09E-05,0.03821659,1.53E-05,0.00787735,0.024224281,0.032322884,0.31835325
557,120.2632648,31.48678745,4.33936642,high,0.41491,0.52549,0.71734,0.26193,0.13076,0.66261,0.003948212,0.13151741,0.379835128,0.269223213,1.09E-05,0.028569221,0.000395775,0.005690575,0.006710052,0.033982277,0.2848777
558,120.2636509,31.4868001,4.289597669,high,0.53211,0.6549,0.73238,0.30186,0.20082,0.59929,0.009971619,0.229545593,0.267848015,0.287965774,1.09E-05,0.03207016,0.001617432,2.77E-05,0.017742157,0.002305031,0.30827093
559,120.2640536,31.48650077,4.04649774,high,0.59716,0.59608,0.71648,0.26775,0.15499,0.7192,0.016036988,0.121342659,0.386234283,0.228597641,1.00E-05,0.034882545,0.002526283,0.016274929,0.015855789,0.028917313,0.33692029
561,120.2634085,31.48648103,4.373222244,high,0.67365,0.49804,0.76246,0.21212,0.31708,0.54793,0.011935234,0.152526855,0.349845886,0.260408402,1.09E-05,0.034507752,0.001279831,9.54E-07,0.015855789,0.007062912,0.28669257
562,120.2640624,31.48628645,4.294917981,high,0.82667,0.50588,0.76577,0.18562,0.31601,0.50704,0.026410103,0.304955482,0.160449028,0.295684814,1.00E-05,0.035949707,0.001351357,0.000212669,0.030065536,0.024874687,0.31647136
563,120.2640712,31.48607213,4.141242102,high,0.61876,0.53333,0.76482,0.23582,0.3115,0.59912,0.044470787,0.196696281,0.275874138,0.342244148,1.00E-05,0.03279686,0.000743866,0.008015633,0.017254829,0.043179512,0.2790211
564,120.2642817,31.48649909,4.386187524,high,0.87432,0.51765,0.77309,0.18509,0.21023,0.49447,0.017500877,0.184824944,0.317667007,0.348467827,1.09E-05,0.030944824,0.001279831,0.026467323,0.005205154,0.007744789,0.24107914
565,120.2645099,31.48649741,4.379587313,high,0.94289,0.57647,0.75651,0.18793,0.33606,0.59077,0.016700745,0.03776741,0.208797932,0.148528099,1.09E-05,0.03336525,0.000235558,0.016274929,0.030181885,0.007457733,0.3280749
566,120.2645175,31.48609677,4.292368213,high,0.57972,0.54118,0.73941,0.192,0.31583,0.51371,0.00401783,0.196003914,0.314486504,0.220709801,1.09E-05,0.036031723,1.00E-05,0.001088142,0.015855789,0.024736404,0.32443538
569,120.2651351,31.48649686,4.359926484,high,0.88342,0.52549,0.77634,0.21473,0.24193,0.55001,0.018069267,0.376037598,0.119971275,0.315338135,1.00E-05,0.031563759,0.000657082,0.008480072,0.015855789,0.025527954,0.2273529
570,120.2654477,31.48649659,4.062496623,high,0.5474,0.50588,0.75548,0.26505,0.22689,0.53369,0.02852726,0.357771873,0.117203712,0.306077004,1.09E-05,0.031041145,0.000597,0.000187874,0.015855789,0.02641964,0.24092696
571,120.2645137,31.48629709,4.074176215,high,0.57782,0.58431,0.73005,0.24888,0.19542,0.72942,0.036527634,0.35162735,0.123808861,0.307424545,1.09E-05,0.030672073,0.000212669,0.002693176,0.015855789,0.023328781,0.23214679
572,120.2655682,31.48628401,4.194569519,high,0.72977,0.52549,0.75952,0.18923,0.39729,0.4472,0.028006554,0.326969147,0.153889656,0.391142845,1.00E-05,0.025319099,0.002260208,0.012068748,0.004621506,0.01120472,0.23094044
573,120.2657746,31.48618824,4.228203994,high,0.7917,0.51765,0.76937,0.19258,0.39785,0.48326,0.04170227,0.21822834,0.254714012,0.342216492,1.00E-05,0.033624649,0.000230789,0.000101089,0.023918152,0.02849102,0.2673429
574,120.265886,31.48620092,4.057512554,high,0.76576,0.55686,0.75522,0.19356,0.28337,0.5513,0.068736076,0.29613781,0.152068138,0.364144325,1.00E-05,0.030652046,2.00E-05,0.011119843,0.025551796,0.011566162,0.33290317
576,120.2660463,31.48634755,4.000398462,high,0.85004,0.52157,0.77941,0.21738,0.32481,0.51427,0.011256218,0.264676094,0.254133224,0.281913757,1.00E-05,0.037075043,0.001279831,0.031658173,0.015855789,0.011826515,0.35308075
577,120.2660675,31.48647337,4.040113953,high,0.63886,0.52549,0.7608,0.28715,0.27337,0.58669,0.020622254,0.270195961,0.213027001,0.24712944,1.00E-05,0.041435242,0.000114441,0.001470566,0.024422646,0.037057877,0.32491958
578,120.2664956,31.48645563,4.110563406,high,1.06194,0.5451,0.77916,0.22111,0.26887,0.58567,0.012571335,0.185887337,0.342353821,0.210036277,1.00E-05,0.03424263,0.001702309,0.030563354,0.015855789,0.006151199,0.32779586
