id,lon,lat,being-away,coherence,scope,fascination,depth_max,depth_min,depth_mean,depth_std,canny_edge,h_mean,h_std,s_mean,s_std,v_mean,v_std,pixel_threshold,pixel_entropy,other,wall,building,sky,floor,tree,road,grass,sidewalk,person,ground,mountain,plant,fence,stone,signboard,sand,runway,bridge,bench, tower,streetlight,pole,land,fountain, tent,animal,bicycle,traffic light,trash can,car,water/river
399,120.2656962,31.48813824,4.17,4,4,4,5.3386927,0.682677,2.7285414,0.87612605,51.782,0.33264,0.25736,0.089133,0.084028,0.7206,0.20267,0.58431,7.2952,0.021129608,0.000191689,0.006567955,0.162081718,0.002381325,0.346865654,0.285244942,0.007106781,0.064670563,0.00001,0.016889572,0.00001,0.039173126,0.000286102,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.000029564,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.047381402,0.00001
403,120.2658797,31.4879122,3.67,5.5,4.33,4.5,5.5748262,0.71130246,3.016768,1.0285987,65.521,0.33197,0.28933,0.1433,0.23386,0.66767,0.26655,0.71373,6.8961,0.010481834,0.006782532,0.08898735,0.280716896,0.038648605,0.04251194,0.39991188,0.00774765,0.010398865,0.000038147,0.00001,0.000148773,0.00001,0.008952141,0.00001,0.014706612,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.000001907,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.034733772,0.000715256
409,120.2675436,31.48787015,5.17,4.83,4.33,4.5,5.4525733,0.7379408,2.6396658,0.6792488,84.822,0.22201,0.16826,0.29921,0.28874,0.52749,0.27336,0.50196,7.6893,0.059000015,0.005654335,0.014695168,0.187554359,0.007029533,0.30228138,0.168421745,0.119756699,0.024364471,0.000108719,0.038053513,0.00001,0.007950783,0.011883736,0.00001,0.000089645,0.00001,0.00001,0.00001,0.00001,0.00001,0.001337051,0.000919342,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.0333395,0.015947342
413,120.2671301,31.48756014,4.17,4.33,4.5,4,5.3974085,0.75338596,2.56895,1.0111977,70.723,0.17501,0.17849,0.17296,0.23183,0.6696,0.27581,0.55686,7.2019,0.032216072,0.00001,0.021127701,0.184770584,0.000000954,0.329797745,0.188217163,0.136252403,0.011256218,0.00001,0.042414665,0.000230789,0.001246452,0.005869865,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.000000954,0.000890732,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.030865669,0.001733779
419,120.2692576,31.48907073,4.67,5,3.83,3.5,5.8199778,0.7421571,3.1772094,1.1943449,97.006,0.19344,0.13421,0.31847,0.25804,0.51473,0.27128,0.52941,7.6853,0.011073112,0.013650894,0.194090843,0.168811798,0.00001,0.160435677,0.166829109,0.126496315,0.005465508,0.00001,0.011106491,0.00001,0.099381447,0.001162529,0.00001,0.006692886,0.00001,0.00001,0.000058174,0.00001,0.00001,0.000700951,0.00064373,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.033216476,0.000178337
423,120.2682466,31.48776402,4.83,5,4.33,3.83,6.9793034,0.7631153,3.616202,1.2852192,75.551,0.21427,0.14999,0.34249,0.29314,0.51793,0.28282,0.52941,7.6766,0.032229424,0.00001,0.145346642,0.273117065,0.00001,0.094819069,0.258808136,0.104886055,0.001939774,0.00001,0.000051498,0.00001,0.042996407,0.003594398,0.00001,0.006605148,0.00001,0.00001,0.00001,0.00001,0.00001,0.000011444,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.035336494,0.00001
429,120.269563,31.4884257,2.83,4.17,3.83,3.17,9.186655,0.8948797,4.059025,1.3323275,53.745,0.2812,0.23805,0.12977,0.14096,0.64042,0.26941,0.58039,7.4315,0.072414398,0.00286293,0.18356514,0.236095428,0.00390625,0.098665237,0.179333687,0.021607399,0.116649628,0.000715256,0.001859665,0.00001,0.028886795,0.00001,0.00001,0.000310898,0.00001,0.00001,0.000001907,0.00001,0.00001,0.000125885,0.00001,0.00001,0.00001,0.00001,0.00001,0.003188133,0.00001,0.00001,0.041262626,0.00034523
433,120.269838,31.48877401,6.33,2.5,2.17,2.83,7.027461,0.6957425,2.5818164,0.8665819,82.166,0.2987,0.2371,0.17174,0.2186,0.58514,0.2859,0.61961,7.6278,0.07334137,0.059622765,0.033630371,0.139609337,0.000198364,0.383177757,0.048848152,0.01723671,0.096262932,0.000558853,0.032003403,0.00001,0.073446274,0.004179954,0.000116348,0.00097847,0.000232697,0.00001,0.00001,0.000865936,0.00001,0.00001,0.00001,0.00001,0.001351357,0.00001,0.00001,0.00001,0.00001,0.00001,0.018864632,0.01228714
439,120.2707837,31.4879595,4.83,4.17,3.83,3.83,5.9918494,0.7836831,3.1793787,1.0445559,75.034,0.27944,0.21256,0.2928,0.30424,0.42927,0.2935,0.4902,7.7312,0.048212051,0.001992226,0.011388779,0.164061546,0.00001,0.358515739,0.17063713,0.200498581,0.021681786,0.00001,0.00001,0.00001,0.005026817,0.000001907,0.00001,0.000382423,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002861,0.000710487,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.013228417,0.000005722
443,120.2724353,31.48765277,3.33,4.83,5.17,5,5.6062775,0.6963779,2.7569704,1.0937583,83.563,0.23066,0.19371,0.26201,0.27523,0.56661,0.27613,0.51373,7.6937,0.081187248,0.000331879,0.016706467,0.422956467,0.000164032,0.029204369,0.328844071,0.020132065,0.002876282,0.00001,0.006781578,0.00001,0.009606362,0.045072556,0.00001,0.003674507,0.00001,0.00001,0.00001,0.00001,0.00001,0.000004768,0.000325203,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.028730393,0.002004623
449,120.2648108,31.48776484,3.67,4,4,3.83,5.1076956,0.7694268,2.6084545,0.8216916,89.364,0.20597,0.13949,0.33175,0.30481,0.53552,0.29193,0.5451,7.7484,0.019463539,0.004364014,0.005337715,0.214128494,0.00001,0.299530029,0.342190742,0.008986473,0.026183128,0.000002861,0.018901825,0.00001,0.025400162,0.000295639,0.00001,0.00001,0.00001,0.00001,0.00001,0.000899315,0.00001,0.00017643,0.000311852,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.033231736,0.000128746
453,120.2653326,31.48765038,3.33,3.67,3.5,4,7.688819,0.72525233,2.8453307,1.3380408,66.152,0.21346,0.17466,0.2589,0.27837,0.627,0.30197,0.56863,7.4801,0.067512512,0.002079964,0.004179001,0.28910923,0.00001,0.225021362,0.164928436,0.029355049,0.011423111,0.00001,0.049794197,0.00001,0.063902855,0.026262283,0.00001,0.00093174,0.00001,0.00001,0.026339531,0.00001,0.00001,0.001297951,0.002693176,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.021770477,0.013307571
459,120.2658519,31.4876684,3.5,3.83,3.83,4,5.7968464,0.67600393,2.8664231,1.0863338,98.525,0.20907,0.18478,0.30279,0.29457,0.52644,0.31204,0.53725,7.7991,0.009461403,0.000551224,0.120697022,0.165865898,0.028581619,0.206352234,0.232992172,0.0572052,0.080639839,0.00001,0.023619652,0.000001907,0.000104904,0.004038811,0.00001,0.000008583,0.00001,0.00001,0.00001,0.00001,0.00001,0.000004768,0.000023842,0.000003815,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.020200729,0.00113678
463,120.2667224,31.48756121,3.67,4.5,4.17,3.67,5.71435,0.84422106,3.5697415,1.103462,56.487,0.22693,0.20681,0.21371,0.26181,0.61607,0.31902,0.52549,7.496,0.05411911,0.000939369,0.045482636,0.224396706,0.00001,0.242882729,0.166137696,0.079208374,0.081735611,0.000012398,0.071303368,0.00001,0.005433083,0.00001,0.00001,0.000466347,0.000001907,0.00001,0.00001,0.00001,0.00001,0.000056267,0.000166893,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.025585175,0.00001
469,120.267206,31.48785258,4,4.83,3.33,4.17,4.9832964,0.8112296,2.2906544,0.47823852,25.592,0.46248,0.29855,0.054654,0.091156,0.78318,0.2313,0.76863,6.634,0.01444149,0.000454903,0.008524895,0.197659492,0.00001,0.319582939,0.182400703,0.049297333,0.01761055,0.00001,0.056587219,0.00001,0.110294342,0.00445652,0.000371933,0.000094414,0.000220299,0.00001,0.00001,0.00001,0.00001,0.000001907,0.005366325,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.031878471,0.00001
473,120.268897,31.48800571,3.33,4.33,4,3.67,5.188384,0.8111653,2.980815,0.9201492,74.739,0.36095,0.29366,0.19626,0.27284,0.5232,0.31418,0.62745,7.484,0.014551163,0.00938797,0.01245308,0.233735085,0.00001,0.286261559,0.344609261,0.019552231,0.030722618,0.000239372,0.009950638,0.00001,0.001396179,0.000268936,0.00001,0.000603676,0.00001,0.00001,0.00001,0.00001,0.00001,0.002156258,0.000247002,0.00001,0.00001,0.00001,0.00001,0.000000954,0.00001,0.00001,0.033855438,0.00001
479,120.2696852,31.48731921,3.17,4.5,4.5,4,6.35293,0.77050394,3.6552014,1.335833,81.937,0.30326,0.27256,0.19253,0.16745,0.68368,0.26793,0.58431,7.764,0.034010887,0.007261276,0.106987,0.232730865,0.019683838,0.178933144,0.21385765,0.037974358,0.040966988,0.00001,0.027804375,0.00001,0.064499855,0.000201225,0.002366066,0.000184059,0.000000954,0.00001,0.00001,0.00001,0.00001,0.00033474,0.000000954,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.031689644,0.00001
483,120.270604,31.48777565,3.33,4.17,4.17,4,5.629826,0.7572608,2.5780513,0.9667139,86.393,0.26389,0.20718,0.25543,0.25688,0.53394,0.29464,0.49804,7.9132,0.029022217,0.000639915,0.161746025,0.249836922,0.00001,0.115777016,0.110891342,0.102092743,0.034491539,0.020627975,0.022247314,0.00001,0.086726189,0.002940178,0.000002861,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.000530243,0.00001,0.00001,0.00001,0.00001,0.007502556,0.013363838,0.00001,0.00001,0.040721893,0.00001
489,120.2707477,31.48779097,3.5,4.17,4.33,4.17,6.3305335,0.9998375,3.783248,1.5099655,69.27,0.26088,0.21458,0.21246,0.25809,0.62126,0.30159,0.52157,7.5124,0.132372856,0.00001,0.180586815,0.297959328,0.00001,0.042895317,0.197693824,0.041910172,0.00291729,0.00001,0.009767532,0.00001,0.072764397,0.005288124,0.00001,0.001338959,0.00001,0.00001,0.00001,0.00001,0.00001,0.000246048,0.001028061,0.00001,0.00001,0.00001,0.00001,0.00001,0.002706528,0.00001,0.010511398,0.00001
493,120.2621064,31.48732069,4.33,3.83,3.17,3.33,6.042605,0.71324164,2.514577,1.1586075,79.412,0.21473,0.18699,0.21911,0.24321,0.61275,0.28468,0.55686,7.3446,0.028402328,0.00001,0.024207115,0.069863319,0.000177383,0.42585659,0.121034622,0.126262665,0.040915489,0.00001,0.091603279,0.00001,0.023407936,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.000829697,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.023784637,0.023557663
