id,lon,lat,depth_max,depth_min,depth_mean,depth_std,canny_edge,h_mean,h_std,s_mean,s_std,v_mean,v_std,pixel_threshold,pixel_entropy,other,wall,building,sky,floor,tree,road,grass,sidewalk,person,ground,mountain,plant,fence,stone,signboard,sand,runway,bridge,bench, tower,streetlight,pole,land,fountain, tent,animal,bicycle,traffic light,trash can,car,water/river,being_away,coherence,scope,fascination,label
556,120.2722479,31.48526301,5.0758276,0.81287795,2.1235569,0.7190367,49.022,0.39445,0.306,0.12031,0.20995,0.70463,0.25749,0.72549,6.9153,0.026242256,0.00418663,0.018107414,0.306842804,8.58E-06,0.187983513,0.391443253,0.010258675,0.004926682,0.000907898,0.028581619,7.06E-05,0.000273705,0.000766754,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.86E-06,1.00E-05,2.48E-05,1.91E-06,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.019370079,1.00E-05,3.467667143,3.974279626,3.88686647,4.161695529,-1
557,120.2632648,31.48678745,5.36099,0.81907934,2.848777,0.80607945,41.491,0.26193,0.22965,0.13076,0.1946,0.66261,0.27566,0.52549,7.1734,0.033982277,0.004601479,0.003948212,0.13151741,0.002520561,0.379835128,0.269223213,0.02594471,0.103356361,9.82E-05,0.005690575,1.00E-05,0.006710052,0.000395775,0.000224113,2.29E-05,1.24E-05,1.00E-05,1.00E-05,0.001220703,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.028569221,0.001877785,4.44587391,4.292730145,4.391043967,4.227817658,-1
558,120.2636509,31.4868001,5.5223284,0.8362681,3.0827093,0.9150824,53.211,0.30186,0.25918,0.20082,0.27714,0.59929,0.29787,0.6549,7.3238,0.002305031,0.003548622,0.009971619,0.229545593,0.005146027,0.267848015,0.287965774,0.007993698,0.119050026,0.002604485,2.77E-05,1.00E-05,0.017742157,0.001617432,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,9.54E-06,1.00E-05,0.000695229,0.001628876,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.002426147,1.00E-05,1.00E-05,0.03207016,0.000178337,4.206252873,4.645741046,4.1121038,4.194292955,-1
559,120.2640536,31.48650077,5.7426167,0.74072176,3.3692029,1.051959,59.716,0.26775,0.23311,0.15499,0.21544,0.7192,0.28074,0.59608,7.1648,0.028917313,0.001202583,0.016036988,0.121342659,1.00E-05,0.386234283,0.228597641,0.038282394,0.04186821,6.29E-05,0.035658836,1.00E-05,0.062500954,0.002526283,1.00E-05,1.00E-05,0.001479149,1.00E-05,1.00E-05,1.00E-05,1.00E-05,5.72E-06,5.82E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.034882545,1.00E-05,4.19451568,4.170001536,3.669999253,4.151474491,0
560,120.263731,31.4864909,9.023336,0.7198134,3.929314,1.7070025,58.082,0.30076,0.23781,0.17625,0.21973,0.7049,0.25967,0.54902,7.3506,0.010188103,0.002994537,0.145301819,0.192215919,1.00E-05,0.179944038,0.324462891,0.042919159,0.050104141,0.000764847,0.006513596,1.00E-05,0.010969162,9.73E-05,1.00E-05,2.19E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,3.82E-06,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.033495903,1.00E-05,3.184457158,3.840462069,4.065514862,3.947182329,-1
561,120.2634085,31.48648103,5.4412117,0.77302647,2.8669257,0.8518845,67.365,0.21212,0.16876,0.31708,0.29382,0.54793,0.3111,0.49804,7.6246,0.007062912,0.004417419,0.011935234,0.152526855,1.00E-05,0.349845886,0.260408402,0.096151352,0.008575439,1.00E-05,9.54E-07,1.00E-05,0.068041801,0.004244804,1.00E-05,0.00117588,1.00E-05,1.00E-05,1.05E-05,1.00E-05,1.00E-05,0.000173569,0.000288963,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.034507752,0.000593186,4.141814941,4.765339516,4.122097418,4.463637101,-1
562,120.2640624,31.48628645,5.821272,0.76864946,3.1647136,1.0080026,82.667,0.18562,0.15275,0.31601,0.27261,0.50704,0.31741,0.50588,7.6577,0.024874687,0.001092911,0.026410103,0.304955482,1.00E-05,0.160449028,0.295684814,0.060817719,0.042660713,0.003340721,0.000212669,1.00E-05,0.030065536,0.001351357,1.00E-05,0.004985809,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.48E-05,0.000188828,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.035949707,1.00E-05,3.877111143,4.51725588,4.393497499,4.391807402,-1
563,120.2640712,31.48607213,5.425151,0.76780313,2.790211,0.8494373,61.876,0.23582,0.19136,0.3115,0.28869,0.59912,0.30227,0.53333,7.6482,0.043179512,0.000669479,0.044470787,0.196696281,1.00E-05,0.275874138,0.342244148,0.031943321,0.005501747,1.00E-05,0.008015633,1.00E-05,0.017254829,0.000743866,1.00E-05,0.00014019,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.000261307,2.38E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.03279686,1.00E-05,4.084283631,4.492572111,4.108343436,3.87976923,1
564,120.2642817,31.48649909,4.965416,0.80408573,2.4107914,0.62216645,87.432,0.18509,0.12026,0.43334,0.28164,0.49447,0.28993,0.51765,7.7309,0.007744789,0.000746727,0.017500877,0.184824944,1.00E-05,0.317667007,0.348467827,0.022547722,0.027181625,1.00E-05,0.026467323,1.00E-05,0.005205154,0.005942345,1.00E-05,0.002511978,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,5.63E-05,0.001381874,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.000313759,1.00E-05,0.030944824,0.000490189,4.31594714,4.240393458,4.3986428,4.589766696,1
565,120.2645099,31.48649741,8.446238,0.89098966,3.280749,0.9554125,94.289,0.18793,0.14317,0.33606,0.26946,0.59077,0.29689,0.57647,7.5651,0.007457733,0.005923271,0.016700745,0.03776741,0.026173592,0.465971947,0.148528099,0.067731857,0.050933838,1.00E-05,0.06325531,1.00E-05,0.030181885,0.000235558,1.00E-05,5.72E-06,0.000386238,1.00E-05,9.54E-06,1.00E-05,1.00E-05,1.00E-05,1.14E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.066754341,0.011849403,4.500112541,4.82941168,3.829984809,4.358840221,0
566,120.2645175,31.48609677,5.404318,0.784791,3.2443538,0.9072104,57.972,0.192,0.13807,0.31583,0.28438,0.51371,0.33135,0.54118,7.3941,0.024736404,0.000784874,0.00401783,0.196003914,1.00E-05,0.314486504,0.220709801,0.097592354,0.001933098,9.54E-07,0.001088142,1.00E-05,0.092096329,1.00E-05,0.000890732,0.000187874,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.000123978,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.036031723,0.008750916,4.661964936,4.388136837,3.722168479,4.397202599,-1
567,120.2645078,31.48578039,7.799134,0.77338254,3.6598458,1.4274262,96.268,0.19594,0.15854,0.32601,0.28543,0.60696,0.29163,0.57647,7.6121,0.006568909,0.002855301,0.230683327,0.086139679,0.000437737,0.211956978,0.111338616,0.014538765,0.167048454,1.91E-06,0.034090042,1.00E-05,0.108261108,0.001055717,0.000202179,0.000846863,1.00E-05,1.00E-05,1.00E-05,0.000196457,1.00E-05,1.00E-05,0.000805855,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.000407219,1.00E-05,1.00E-05,0.017988204,9.54E-06,3.167936066,3.293497418,2.952320652,4.007831484,-1
568,120.2648225,31.48649714,5.590162,0.8727944,3.154613,1.177482,54.425,0.23297,0.21407,0.17594,0.23012,0.69322,0.28083,0.55686,7.365,0.012794495,0.003528595,0.019902229,0.28765583,1.00E-05,0.203746796,0.356091499,0.021232605,0.025053978,0.002282143,0.018564224,1.00E-05,0.010726929,0.000676155,1.00E-05,0.000594139,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.000439644,0.000333786,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.000882149,9.54E-07,1.00E-05,0.03548336,1.00E-05,3.666430779,4.057049632,4.206260905,4.030675001,-1
569,120.2651351,31.48649686,4.949492,0.72957337,2.273529,0.8008508,88.342,0.21473,0.19909,0.24193,0.26387,0.55001,0.29195,0.52549,7.7634,0.025527954,0.002131462,0.018069267,0.376037598,1.05E-05,0.119971275,0.315338135,0.004693031,0.014312744,1.00E-05,0.008480072,1.00E-05,0.064963341,0.000657082,1.00E-05,0.000658989,1.00E-05,1.00E-05,1.00E-05,0.00733757,1.00E-05,1.24E-05,0.00056839,1.00E-05,0.007342339,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.031563759,1.00E-05,3.329977453,4.670072484,4.999984282,4.439671715,-1
570,120.2654477,31.48649659,4.9339123,0.7544288,2.4092696,0.9023427,54.74,0.26505,0.25358,0.22689,0.28246,0.53369,0.3094,0.50588,7.5548,0.02641964,0.017874718,0.02852726,0.357771873,5.72E-06,0.117203712,0.306077004,0.031134605,0.008644104,1.00E-05,0.000187874,0.001093864,0.062252045,0.000597,1.00E-05,0.008465767,1.00E-05,1.00E-05,0.000178337,1.00E-05,1.00E-05,0.000113487,9.54E-07,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.031041145,5.82E-05,3.219085976,4.349915018,4.360351558,4.320633941,-1
571,120.2645137,31.48629709,5.093767,0.7267601,2.3214679,0.8631707,57.782,0.24888,0.2278,0.19542,0.23181,0.72942,0.29357,0.58431,7.3005,0.023328781,0.004686356,0.036527634,0.35162735,0.000980377,0.123808861,0.307424545,0.0337286,0.010510445,0.000102043,0.002693176,0.000329971,0.069535255,0.000212669,2.86E-06,0.002965927,1.00E-05,1.00E-05,1.00E-05,8.58E-06,8.58E-06,8.77E-05,1.14E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.030672073,5.82E-05,3.604332177,4.245793459,4.061593605,4.384985619,-1
572,120.2655682,31.48628401,5.0712514,0.69457823,2.3094044,0.89951974,72.977,0.18923,0.11645,0.39729,0.28433,0.4472,0.2942,0.52549,7.5952,0.01120472,1.00E-05,0.028006554,0.326969147,1.00E-05,0.153889656,0.391142845,0.032124519,0.011716843,1.00E-05,0.012068748,0.000100136,0.004621506,0.002260208,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.10E-05,9.82E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.025319099,1.00E-05,3.711339629,4.025975848,4.500012498,4.5409501,-1
573,120.2657746,31.48618824,6.8629627,0.7310746,2.673429,1.1272821,79.17,0.19258,0.13518,0.39785,0.28826,0.48326,0.28249,0.51765,7.6937,0.02849102,0.000439644,0.04170227,0.21822834,1.00E-05,0.254714012,0.342216492,0.030342102,0.024512291,1.00E-05,0.000101089,1.00E-05,0.023918152,0.000230789,1.00E-05,0.001421928,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.91E-05,3.81E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.033624649,1.00E-05,4.199703503,4.44880994,4.329152298,3.935150233,1
574,120.265886,31.48620092,6.1082697,0.7532715,3.3290317,1.4174565,76.576,0.19356,0.14374,0.28337,0.25889,0.5513,0.31376,0.55686,7.5522,0.011566162,0.001050949,0.068736076,0.29613781,1.00E-05,0.152068138,0.364144325,0.014195442,0.018597603,1.00E-05,0.011119843,1.00E-05,0.025551796,2.00E-05,2.96E-05,0.003373146,0.000355721,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.002091408,0.000303268,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.030652046,1.00E-05,3.773044564,4.278830851,4.02542195,4.15275285,-1
575,120.2659837,31.4862654,6.9650297,0.7746298,3.6072254,1.4654615,97.667,0.21836,0.1594,0.30365,0.24348,0.45688,0.26069,0.49412,7.8256,0.012639999,0.001016617,0.136559486,0.298668861,1.00E-05,0.085729599,0.317312241,0.00423336,0.097430229,0.00043869,0.004418373,0.000425339,0.012059212,1.00E-05,1.00E-05,3.82E-06,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.91E-06,3.82E-06,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,3.82E-06,1.00E-05,0.022606849,1.00E-05,3.170024418,4.329958764,4.330002889,3.819098812,3
576,120.2660463,31.48634755,5.5573745,0.9117627,3.5308075,0.838851,85.004,0.21738,0.15104,0.32481,0.26436,0.51427,0.28832,0.52157,7.7941,0.011826515,0.00744915,0.011256218,0.264676094,1.00E-05,0.254133224,0.281913757,0.011446953,0.016120911,0.000303268,0.031658173,1.00E-05,0.057512283,0.00480938,1.00E-05,0.007954597,1.00E-05,1.00E-05,1.00E-05,4.77E-06,1.00E-05,1.00E-05,5.53E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.037075043,1.00E-05,3.882978651,4.149768703,3.947681164,4.021165328,0
577,120.2660675,31.48647337,5.458949,0.7326734,3.2491958,0.90478843,63.886,0.28715,0.21182,0.27337,0.27343,0.58669,0.31847,0.52549,7.608,0.037057877,4.77E-06,0.020622254,0.270195961,0.005892754,0.213027001,0.24712944,0.049395561,0.086683273,1.00E-05,0.001470566,0.001885414,0.024422646,0.000114441,0.000288963,1.00E-05,7.34E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,3.82E-06,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.000277519,1.00E-05,1.00E-05,1.00E-05,0.041435242,1.00E-05,3.643203016,4.138696994,4.170266249,4.208289554,-1
578,120.2664956,31.48645563,6.0324373,0.8701576,3.2779586,1.0279825,106.194,0.22111,0.16915,0.26887,0.2439,0.58567,0.27205,0.5451,7.7916,0.006151199,0.00408268,0.012571335,0.185887337,1.00E-05,0.342353821,0.210036277,0.071708679,0.018656731,1.00E-05,0.030563354,1.00E-05,0.08204174,0.001702309,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.03424263,1.00E-05,4.165101967,4.283582418,3.809735556,4.183833682,0
579,120.2669237,31.48643789,5.9924626,0.7917952,3.475196,1.4014794,89.222,0.20476,0.14305,0.33844,0.27416,0.41675,0.27473,0.47843,7.8025,0.016625404,0.001870155,0.036287308,0.331886292,1.00E-05,0.143410683,0.342515945,0.036582947,0.027681351,1.00E-05,0.008264542,1.00E-05,0.016654968,0.000358582,7.63E-05,0.002640724,1.05E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.001531601,0.000245094,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,9.44E-05,1.00E-05,0.033232689,3.05E-05,4.169979909,4.330048175,4.170003643,4.315323732,-1
580,120.2673519,31.48642015,9.537487,0.70809627,2.8823864,1.4414163,78.696,0.21589,0.20124,0.11975,0.16222,0.64777,0.26697,0.54118,7.7545,0.023747444,0.000764847,0.16024971,0.269348145,0.004388809,0.126286507,0.202401161,0.063096046,0.09575367,4.39E-05,0.010623932,1.00E-05,0.015337944,0.002923965,1.00E-05,0.001692772,1.00E-05,1.00E-05,1.00E-05,0.000819206,1.00E-05,0.000101089,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.016186715,0.002156258,3.061166883,3.501615046,3.426000125,4.280258692,-1
581,120.2673463,31.48610163,6.011722,0.77084804,3.4520707,1.1745725,52.502,0.24537,0.25068,0.15481,0.21804,0.69102,0.27505,0.55294,7.3064,0.015828133,0.000128746,0.233913421,0.206510544,0.028705597,0.100564003,0.314774513,0.029372215,0.023966789,1.00E-05,0.002566338,1.00E-05,0.008145332,1.72E-05,1.00E-05,0.000638962,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.00094986,3.34E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.033211709,1.00E-05,3.230188208,4.204842187,3.958029707,3.838064075,-1
