id,lon,lat,aver,label,canny_edge,pixel_threshold,pixel_entropy,hue_mean,saturation_mean,lightness_mean,building_semantic,sky_semantic,tree_semantic,road_semantic,river_semantic,car_semantic,fence_semantic,ground_semantic,plant_semantic,other_semantic,depth_mean
843,120.2658962,31.48149869,4.030049752,high,0.64559,0.58824,0.77833,0.35555,0.21387,0.50471,0.060633659,0.23807621,0.110357285,0.129428864,1.00E-05,0.03336525,0.001822472,8.58E-06,0.015855789,0.013872147,0.31307766
844,120.2659406,31.4812324,4.008830879,high,1.03282,0.51765,0.77025,0.21073,0.2726,0.52036,0.085639,0.296377182,0.159976006,0.170804977,1.09E-05,0.034445763,0.001279831,0.016274929,0.015691757,0.048948288,0.29354794
845,120.2686007,31.48177737,3.46752599,medium,1.02468,0.6,0.76099,0.22295,0.2402,0.55693,0.060633659,0.160648346,0.188380242,0.190975189,1.00E-05,0.033847809,0.001279831,0.003048897,0.020435333,0.022979736,0.33088026
846,120.268243,31.48150567,4.053054315,high,1.05806,0.6,0.76284,0.2203,0.27704,0.50686,0.118204117,0.229310989,0.17787838,0.235963822,1.09E-05,0.035829544,0.001279831,0.011730194,0.011359215,0.048480988,0.2611717
847,120.2612793,31.48090973,3.699030443,medium,0.56593,0.70196,0.70117,0.34599,0.12117,0.7041,0.070207596,0.195760727,0.25539875,0.193604469,1.09E-05,0.050174713,0.001279831,0.016274929,0.015855789,0.033119202,0.34040287
848,120.2610628,31.4806947,3.763090142,medium,0.54476,0.6902,0.70402,0.35951,0.12073,0.70869,0.060633659,0.079399109,0.247060776,0.164901734,1.09E-05,0.032959938,0.000102997,0.016274929,0.015855789,0.002948761,0.25048113
849,120.2611457,31.48048192,3.664749644,medium,0.31502,0.75294,0.64048,0.40648,0.091274,0.73887,0.060633659,0.159864426,0.276961327,0.156838417,1.00E-05,0.033842087,0.001805305,0.016274929,0.015855789,0.040010452,0.2271773
850,120.2619122,31.48092244,4.149075905,high,0.48293,0.70588,0.68706,0.46524,0.091287,0.70771,0.026452065,0.188650131,0.339186668,0.191105842,1.09E-05,0.041577339,0.001302719,0.016274929,0.01403904,0.028261185,0.24808345
851,120.2622458,31.48093287,3.907440958,medium,0.38194,0.73333,0.66493,0.38225,0.095313,0.72868,0.060633659,0.159628868,0.169286728,0.29494667,1.09E-05,0.063073158,3.72E-05,0.010601997,0.018397331,0.004098892,0.33173287
852,120.2625794,31.48094331,4.013315211,high,1.06549,0.53725,0.76946,0.17918,0.26214,0.55368,0.060633659,0.210301399,0.157486916,0.334302902,1.09E-05,0.052500725,0.001159668,0.016274929,0.001439095,0.00595665,0.33325016
853,120.2626721,31.48101667,3.991215118,medium,0.67149,0.65882,0.7282,0.40247,0.15831,0.58231,0.044916153,0.260280609,0.221438408,0.27378273,1.09E-05,0.035414696,0.001947403,0.023116112,0.015855789,0.009716034,0.26251748
854,120.2631865,31.48089341,4.183668188,high,0.45826,0.50196,0.71353,0.30552,0.14787,0.65207,0.060633659,0.229792595,0.093867302,0.299779892,1.00E-05,0.034208298,0.001279831,1.00E-05,0.023615837,0.017026901,0.35346437
855,120.2632077,31.48061909,3.593982228,medium,0.55098,0.67451,0.70885,0.35752,0.16615,0.60137,0.088433266,0.153670311,0.284878731,0.218821526,1.00E-05,0.034297943,0.001077652,0.016274929,0.016259193,0.00935936,0.29706087
856,120.2632288,31.48034477,3.675455545,medium,0.697,0.64706,0.72045,0.38743,0.18916,0.55303,0.060633659,0.203033447,0.12966156,0.257015228,1.00E-05,0.036391258,9.54E-07,0.029632568,0.011259079,0.008122444,0.3350775
857,120.2635972,31.48112035,3.938861631,medium,0.49333,0.67843,0.70313,0.34066,0.18067,0.59858,0.06840992,0.195967674,0.332702636,0.155861855,1.09E-05,0.033281326,0.001279831,0.016274929,0.028081894,0.036543846,0.27276938
858,120.2639557,31.48118145,4.198443967,high,0.3097,0.73333,0.68173,0.46395,0.093134,0.71626,0.09275055,0.178580284,0.292651177,0.170491219,1.09E-05,0.035100937,0.001279831,0.002759933,0.030702591,0.032310486,0.28345046
